Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Studying the Advancement in Debugging Practice of Professional Software Developers,B. Siegmund; M. Perscheid; M. Taeumel; R. Hirschfeld,NA; NA; NA; NA,2014 IEEE International Symposium on Software Reliability Engineering Workshops,,2014,,,269,274,"In 1997, Henry Lieberman stated that debugging is the dirty little secret of computer science. Since then, several promising debugging technologies have been developed such as back-in-time debuggers and automatic fault localization methods. However, the last study about the state-of-the-art in debugging is still more than 15 years old and so it is not clear whether these new approaches have been applied in practice or not. For that reason, we investigate the current state of debugging in a new comprehensive study. First, we review the available literature and learn about current approaches and study results. Second, we observe several professional developers while debugging and interview them about their experiences. Based on these results, we create a questionnaire that should serve as the basis for a large-scale online debugging survey later on. With these results, we expect new insights into debugging practice that help to suggest new directions for future research.",,978-1-4799-7377,10.1109/ISSREW.2014.36,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6983851,Debugging;Survey;Empirical Study;Program Comprehension,Debugging;Companies;Software;Computer bugs;Navigation;Java;Education,computer operating procedures;computer science;DP management;program debugging;software engineering,debugging practice;professional software developers;computer science;debugging technologies;back-in-time debuggers;automatic fault localization methods;large-scale online debugging,,,41,,,,,IEEE,IEEE Conferences
Hidden dependencies in software systems,R. Vanciu; V. Rajlich,"Department of Computer Science, Wayne State University, Detroit, Michigan, USA; Department of Computer Science, Wayne State University, Detroit, Michigan, USA",2010 IEEE International Conference on Software Maintenance,,2010,,,1,10,"In this paper, we study the hidden dependencies that are a special kind of data flows. They play an important role in software maintenance and evolution because they propagate changes among the classes and they are hard to detect. We propose a technique that finds hidden dependencies through the computation of an “execute completely after” relation that is filtered using dynamically generated preconditions and postconditions. We show that these hidden dependencies exist even in well-structured software, like the open source programs JUnit, Drawlets, and Apache FtpServer. We also discuss the precision of this technique.",1063-6773;1063-6773,978-1-4244-8629-8978-1-4244-8630-4978-1-4244-8628,10.1109/ICSM.2010.5609657,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5609657,Software evolution;program comprehension;dependency analysis;execute completely after relation;invariants,Radio frequency;Integrated circuits,public domain software;software maintenance,hidden dependencies;software system;software maintenance;open source programs JUnit;Drawlets;Apache;FtpServer,,7,51,,,,,IEEE,IEEE Conferences
Delta extraction: An abstraction technique to comprehend why two objects could be related,N. Nitta; T. Matsuoka,"Graduate School of Natural Science, Konan University, Kobe, Japan; Graduate School of Natural Science, Konan University, Kobe, Japan",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2015,,,61,70,"In an execution of a large scale program, even a simple observable behavior may be generated by a wide range of the source code. To comprehend how such a behavior is implemented in the code, a debugger would be helpful. However, when using a debugger, developers often encounter several types of cumbersome tasks and are often confused by the huge and complicated runtime information. To support such a debugger-based comprehension task, we propose an abstraction technique of runtime information, named delta, and present a delta extraction and visualization tool. Basically, a delta is defined for two linked objects in an object-oriented program's execution. It intuitively represents the reason why these objects could be related in the execution, and it can hide the details of how these objects were related. We have conducted experiments on four subject tasks from two real-world systems to evaluate how appropriately an extracted delta can answer the `why' question and how long the tool can reduce the working time to answer the question. The results show that each delta can successfully answer the question and a tens-of-minutes to one-hour debugger-based task can be reduced by extracting a delta.",,978-1-4673-7532-0978-1-4673-7531,10.1109/ICSM.2015.7332452,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332452,dynamic analysis;back-in-time debugging;trace compression;debugger-based program comprehension,Runtime;Visualization;Java;Containers;Context;Electronic mail;Debugging,object-oriented programming;program debugging,source code;delta extraction;visualization tool;object-oriented program execution,,1,18,,,,,IEEE,IEEE Conferences
Identifying Code Smells with Multiple Concern Views,G. d. F. Carneiro; M. Silva; L. Mara; E. Figueiredo; C. Sant'Anna; A. Garcia; M. Mendonca,NA; NA; NA; NA; NA; NA; NA,2010 Brazilian Symposium on Software Engineering,,2010,,,128,137,"Code smells are anomalies often caused by the way concerns are realized in the source code. Their identification might depend on properties governing the structure of individual concerns and their inter-dependencies in the system implementation. Although code visualization tools are increasingly applied to support anomaly detection, they are mostly limited to represent modular structures, such as methods, classes and packages. This paper presents a multiple views approach that enriches four categories of code views with concern properties, namely: (i) concern's package-class method structure, (ii) concern's inheritance-wise structure, (iii)concern dependency, and (iv) concern dependency weight. An exploratory study was conducted to assess the extent to which visual views support code smell detection. Developers identified a set of well-known code smells on five versions of an open source system. Two important results came out of this study. First, the concern-driven views provided useful support to identify God Class and Divergent Change smells. Second, strategies for smell detection supported by the multiple concern views were uncovered.",,978-1-4244-8917-6978-0-7695-4273,10.1109/SBES.2010.21,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5629742,software visualization;code smells;concerns;program comprehension,Visualization;Color;Spirals;Couplings;Complexity theory;Software;Tutorials,object-oriented methods;program visualisation,code smell identification;multiple concern view;code visualization tool;anomaly detection;modular structure representation;concern inheritance wise structure;concern package class method structure;concern dependency weight;open source system;concern driven view;God Class;divergent change smell,,29,41,,,,,IEEE,IEEE Conferences
A Taxonomy of Interactions Introduced by Aspects,M. L. Bernardi; G. A. Di Lucca,NA; NA,2008 32nd Annual IEEE International Computer Software and Applications Conference,,2008,,,726,731,"Aspects have a large impact on the static structure and dynamic behaviour of the system they belong. This is due to the intrinsic intrusive nature of aspects and the woven process allowing the alteration of the structure, the control and data flow of the components of the base system in aspect oriented (AO) systems. Several and different types of interactions among aspects and the other components can be introduced according to the different mechanisms provided by AO Programming. These interactions can make higher the complexity of the overall system affecting its comprehension. In this paper we propose a taxonomy to categorize these types of interactions among aspects and the components of the base system. The taxonomy can be used to understand how each type of interaction affects the complexity, and thus the comprehensibility, of the system.",0730-3157;0730-3157,978-0-7695-3262,10.1109/COMPSAC.2008.159,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591656,Software Quality;Program comprehension;Aspect Oriented Programming,Taxonomy;Complexity theory;Software;Flow graphs;Programming;Observers;Object recognition,object-oriented programming;software quality,taxonomy;woven process;components data flow;aspect oriented systems;aspect oriented programming,,1,14,,,,,IEEE,IEEE Conferences
Identifying Core Objects for Trace Summarization Using Reference Relations and Access Analysis,K. Noda; T. Kobayashi; T. Toda; N. Atsumi,NA; NA; NA; NA,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),,2017,1,,13,22,"Behaviors of an object-oriented system can be visualized as reverse-engineered sequence diagrams from execution traces. This approach is a valuable tool for program comprehension tasks. However, owing to the massiveness of information contained in an execution trace, a reverse-engineered sequence diagram is often afflicted by a scalability issue. To address this issue, we present in this paper a method for identifying core objects for trace summarization by reference relations and access analysis. We detect and eliminate temporary objects that are trivial for a system, and then estimate the importance of non-trivial objects. By grouping objects with a focus on highly important ones (i.e., core objects), we visualize the system's behavior in terms of intergroup interactions. Consequently, we obtain a readable size of a reverse-engineered sequence diagram containing the system's key behavior. We implemented our technique in our tool and evaluated it by using traces from open-source software systems. The results showed that our reverse-engineered sequence diagrams contained only less than 30 lifelines, whereas the original diagrams (no abstraction methods were applied) contained approximately 1,000 to 3,000 lifelines. Our proposed method achieved significant reduction of the horizontal size of the diagram and is expected to be a valuable tool for program comprehension.",0730-3157,978-1-5386-0367-3978-1-5386-0368,10.1109/COMPSAC.2017.142,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029585,Dynamic Analysis;Reverse-engineered Sequence Diagram;Trace Summarization;Core Object;Program Comprehension,Visualization;Object recognition;Tools;Scalability;Software systems;Open source software;Frequency estimation,object-oriented methods;public domain software;reverse engineering,core objects;trace summarization;reference relations;access analysis;object-oriented system;reverse-engineered sequence diagrams;execution traces;program comprehension tasks;nontrivial objects;intergroup interactions;system key behavior;open-source software systems,,1,34,,,,,IEEE,IEEE Conferences
Using the Kleinberg Algorithm and Vector Space Model for Software System Clustering,G. Scanniello; A. D'Amico; C. D'Amico; T. D'Amico,NA; NA; NA; NA,2010 IEEE 18th International Conference on Program Comprehension,,2010,,,180,189,"Clustering based approaches are generally difficult to use in practice since they need a significant human interaction for recovering software architectures, are conceived for a specific programming language, and very often do not use design knowledge (e.g., the implemented architectural model). In this paper we present a clustering based approach to recover the implemented architecture of software systems with a hierarchical structure and implemented with any object oriented programming language. The approach is based on the combination of structural and lexical dimensions. The structural dimension is used to decompose a software system into layers (i.e., horizontal decomposition), while the lexical dimension is then employed to partition each layer (i.e., vertical decomposition) into software modules. Layers are identified using a well known and widely employed link analysis algorithm, i.e., the Kleinberg algorithm, while Vector Space Model is used to vertically decompose the layers. To assess the approach and the underlying techniques, we also present a prototype of a supporting tool and the results from a case study conducted on subsequent versions of three open source Java software systems.",1092-8138;1092-8138,978-1-4244-7603-9978-1-4244-7604-6978-0-7695-4113,10.1109/ICPC.2010.17,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521746,Architecture Recovery;Clustering;Link Analysis;Reverse Engineering;Program Comprehension,Clustering algorithms;Software algorithms;Software systems;Object oriented modeling;Partitioning algorithms;Humans;Software architecture;Computer languages;Computer architecture;Object oriented programming,Java;object-oriented programming;pattern clustering;programming languages;public domain software;software architecture,Kleinberg Algorithm;vector space model;software system clustering approach;software architectures;specific programming language;hierarchical structure;object oriented programming language;software modules;open source Java software systems,,19,34,,,,,IEEE,IEEE Conferences
Changeset-Based Topic Modeling of Software Repositories,C. S. Corley; K. Damevski; N. A. Kraft,"Department of Computer Science, The University of Alabama, Tuscaloosa, Alabama United States (e-mail: cscorley@crimson.ua.edu); Department of Computer Science, Virginia Commonwealth University, Richmond, Virginia United States 23284 (e-mail: damevski@acm.org); N/A, ABB Corporate Research, Raleigh, North Carolina United States (e-mail: nicholas.a.kraft@us.abb.com)",IEEE Transactions on Software Engineering,,2018,PP,99,1,1,"The standard approach to applying text retrieval models to code repositories is to train models on documents representing program elements. However, code changes lead to model obsolescence and to the need to retrain the model from the latest snapshot. To address this, we previously introduced an approach that trains a model on documents representing changesets from a repository and demonstrated its feasibility for feature location. In this paper, we expand our work by investigating: a second task (developer identification), the effects of including different changeset parts in the model, the repository characteristics that affect the accuracy of our approach, and the effects of the time invariance assumption on evaluation results. Our results demonstrate that our approach is as accurate as the standard approach for projects with most changes localized to a subset of the code, but less accurate when changes are highly distributed throughout the code. Moreover, our results demonstrate that context and messages are key to the accuracy of changeset-based models and that the time invariance assumption has a statistically significant effect on evaluation results, providing overly-optimistic results. Our findings indicate that our approach is a suitable alternative to the standard approach, providing comparable accuracy while eliminating retraining costs.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2018.2874960,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486696,changesets;feature location;developer identification;program comprehension;mining software repositories;online topic modeling,Task analysis;Standards;Feature extraction;Resource management;Software maintenance;Maintenance engineering,,,,,,,,,,IEEE,IEEE Early Access Articles
Expanding identifiers to normalize source code vocabulary,D. Lawrie; D. Binkley,"Loyola University Maryland, Baltimore, 21210-2699, USA; Loyola University Maryland, Baltimore, 21210-2699, USA",2011 27th IEEE International Conference on Software Maintenance (ICSM),,2011,,,113,122,"Maintaining modern software requires significant tool support. Effective tools exploit a variety of information and techniques to aid a software maintainer. One area of recent interest in tool development exploits the natural language information found in source code. Such Information Retrieval (IR) based tools compliment traditional static analysis tools and have tackled problems, such as feature location, that otherwise require considerable human effort. To reap the full benefit of IR-based techniques, the language used across all software artifacts (e.g., requirements, design, change requests, tests, and source code) must be consistent. Unfortunately, there is a significant proportion of invented vocabulary in source code. Vocabulary normalization aligns the vocabulary found in the source code with that found in other software artifacts. Most existing work related to normalization has focused on splitting an identifier into its constituent parts. The next step is to expand each part into a (dictionary) word that matches the vocabulary used in other software artifacts. Building on a successful approach to splitting identifiers, an implementation of an expansion algorithm is presented. Experiments on two systems find that up to 66% of identifiers are correctly expanded, which is within about 20% of the current system's best-case performance. Not only is this performance comparable to previous techniques, but the result is achieved in the absence of special purpose rules and not limited to restricted syntactic contexts. Results from these experiments also show the impact that varying levels of documentation (including both internal documentation such as the requirements and design, and external, or user-level, documentation) have on the algorithm's performance.",1063-6773;1063-6773,978-1-4577-0664-6978-1-4577-0663-9978-1-4577-0662,10.1109/ICSM.2011.6080778,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080778,source code analysis tools;natural language processing;program comprehension,Context;Vocabulary;Software;Documentation;Natural languages;Dictionaries,information retrieval;natural language processing;program diagnostics;software maintenance;source coding;vocabulary,identifier expansion;source code vocabulary normalization;software maintenance;natural language information;information retrieval based tools;static analysis tools;feature location;IR-based techniques;software artifacts;splitting identifiers,,25,31,,,,,IEEE,IEEE Conferences
A Context-Driven Software Comprehension Process Model,W. J. Meng; J. Rilling; Y. Zhang; R. Witte; S. Mudur; P. Charland,"Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Defence Research and Development Canada Val-Belair, Quebec, Canada",2006 Second International IEEE Workshop on Software Evolvability (SE'06),,2006,,,50,57,"Comprehension is an essential part of software evolution. Only software that is well understood can evolve in a controlled manner. In this paper, we present a formal process model to support the comprehension of software systems by using ontology and description logic. This formal representation supports the use of reasoning services across different knowledge resources and therefore, enables us to provide users with guidance during the comprehension process that is context sensitive to their particular comprehension task. As part of the process model, we also adopt a new interactive story metaphor, to represent the interactions between users and the comprehension process",,0-7695-2698,10.1109/SOFTWARE-EVOLVABILITY.2006.1,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4032448,Software evolution;program comprehension;process modeling;story metaphor;ontological reasoning,Context modeling;Ontologies;Logic;Software maintenance;Information resources;Computer science;Software engineering;Research and development;Software systems;Context-aware services,formal logic;ontologies (artificial intelligence);software architecture;software prototyping,context-driven software comprehension process model;software evolution;software systems;ontology;description logic;reasoning services;interactive story metaphor,,5,29,,,,,IEEE,IEEE Conferences
Measuring the Accuracy of Information Retrieval Based Bug Localization Techniques,M. Beard; N. Kraft; L. Etzkorn; S. Lukins,NA; NA; NA; NA,2011 18th Working Conference on Reverse Engineering,,2011,,,124,128,"Bug localization involves using information about a bug to locate affected code sections. Several automated bug localization techniques based on information retrieval (IR) models have been constructed recently. The ""gold standard"" of measuring an IR technique's accuracy considers the technique's ability to locate a ""first relevant method."" However, the question remains -- does finding this single method enable the location of a complete set of affected methods? Previous arguments assume this to be true, however, few analyses of this assumption have been performed. In this paper, we perform a case study to test the reliability of this ""gold standard"" assumption. To further measure IR accuracy in the context of bug localization, we analyze the relevance of the IR model's ""first method returned."" We use various structural analysis techniques to extend relevant methods located by IR techniques and determine accuracy and reliability of these assumptions.",2375-5369;1095-1350,978-1-4577-1948,10.1109/WCRE.2011.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079835,program comprehension;feature identification;concept location;static analysis;information retrieval;latent Dirichlet allocation;latent semantic indexing,Accuracy;Computer bugs;Large scale integration;Gold;Magnetic resonance;Semantics;Reliability,information retrieval;program debugging;software maintenance,automated bug localization techniques;information retrieval models;gold standard assumption;first method returned,,6,15,,,,,IEEE,IEEE Conferences
Reverse Engineering of Web Based Systems,A. Hamou-Lhadj; A. En-Nouaary; K. Sultan,"Electrical and Computer Engineering Department, Concordia University, Montreal, Canada. abdelw@ece.concordia.ca; Electrical and Computer Engineering Department, Concordia University, Montreal, Canada. ennouaar@ece.concordia.ca; Electrical and Computer Engineering Department, Concordia University, Montreal, Canada. k_sultan@ece.concordia.ca",2007 Innovations in Information Technologies (IIT),,2007,,,193,197,"Maintaining a poorly documented Web application is not an easy task; software engineers must understand various parts of an application before they can make changes that preserve reliability and other system attributes. In recent years, there has been a noticeable increase in the number of studies that aim at reverse engineering web applications. These studies embody a rich set of techniques that differ in a variety of ways. In this paper, we study several techniques for reverse engineering of Web applications. The objective is to understand the trends in this area as well as uncover key research questions that remain unaddressed.",,978-1-4244-1840-4978-1-4244-1841,10.1109/IIT.2007.4430375,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4430375,Reverse engineering;web applications;program comprehension;software maintenance,Reverse engineering;Application software;Software maintenance;Computer architecture;Maintenance engineering;Reliability engineering;Internet;Software engineering;HTML;Java,Internet;reverse engineering;software reliability,reverse engineering;Web based systems;software engineers;reliability;system attributes,,,17,,,,,IEEE,IEEE Conferences
Documenting and sharing knowledge about code,A. Guzzi,"Software Engineering Research Group, Delft University of Technology, Delft, The Netherlands",2012 34th International Conference on Software Engineering (ICSE),,2012,,,1535,1538,"Software engineers spend a considerable amount of time on program comprehension. Current research has primarily focused on assisting the developer trying to build up his understanding of the code. This knowledge remains only in the mind of the developer and, as time elapses, often “disappears”. In this research, we shift the focus to the developer who is using her Integrated Development Environment (IDE) for writing, modifying, or reading the code, and who actually understands the code she is working with. The objective of this PhD research is to seek ways to support this developer to document and share her knowledge with the rest of the team. In particular, we investigate the full potential of micro-blogging integrated into the IDE for addressing the program comprehension problem.",1558-1225;0270-5257;0270-5257,978-1-4673-1067-3978-1-4673-1066-6978-1-4673-1065,10.1109/ICSE.2012.6227043,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227043,Program comprehension;micro-blogging;IDEs;recommender systems;CSCW,Software;USA Councils;Recommender systems;History;Context;Programming;Prototypes,groupware;recommender systems;reverse engineering;software maintenance;Web sites,software engineers;program comprehension;integrated development environment;IDE;micro-blogging;recommender systems;CSCW;knowledge documentation;knowledge sharing;software maintenance,,3,19,,,,,IEEE,IEEE Conferences
Bytecode-based class dependency extraction tool: Bytecode-CDET,A. Nanthaamornphong; A. Leatongkam; T. Kitpanich; P. Thongnuan,"Department of Information and Communication Technology, Prince of Songkla University, Phuket Campus Phuket, Thailand 83120; Department of Information and Communication Technology, Prince of Songkla University, Phuket Campus Phuket, Thailand 83120; Department of Information and Communication Technology, Prince of Songkla University, Phuket Campus Phuket, Thailand 83120; Department of Information and Communication Technology, Prince of Songkla University, Phuket Campus Phuket, Thailand 83120",2015 7th International Conference on Information Technology and Electrical Engineering (ICITEE),,2015,,,6,11,"Program comprehension is an important task in the software maintenance process. One of the challenges faced by Java developers is the inability to determine the correct number of class dependencies. The ability to recover class dependencies would help developers to understand the design of an existing system prior to modifying it. Many Java dependency analysis tools for this purpose have been proposed, but few are able to analyze the dependency types associated with Java bytecode. In this paper, we propose a reverse engineering tool to extract the dependencies from a compiled Java program. The tool provides a visualization of the recovered dependencies in a form that facilitates the developer's ability to examine the classes and class relationships in the software system. The resulting dependency extraction capability will also enhance software maintenance and evolution. The results of experiments conducted with the intent of evaluating the proposed tool demonstrate both its accuracy and a few of its limitations.",,978-1-4673-7863-5978-1-4673-7862,10.1109/ICITEED.2015.7408903,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7408903,Software Engineering;Program Comprehension;Dependency Tool;Java Programming,Java;XML;Data mining;Software maintenance;Data visualization;Image color analysis,Java;program compilers;program visualisation;reverse engineering;software maintenance,bytecode-based class dependency extraction tool;bytecode-CDET;program comprehension;software maintenance process;Java dependency analysis tools;reverse engineering tool;compiled Java program;recovered dependency visualization;software maintenance enhancement,,,22,,,,,IEEE,IEEE Conferences
Flexible design pattern detection based on feature types,G. Rasool; P. Mäder,"COMSATS Institute of Information Technology, Lahore, Pakistan; Institute for Systems Engineering and Automation (SEA), Johannes Kepler University, Linz, Austria",2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),,2011,,,243,252,"Accurately recovered design patterns support development related tasks like program comprehension and reengineering. Researchers proposed a variety of recognition approaches already. Though, much progress was made, there is still a lack of accuracy and flexibility in recognition. A major problem is the large variety of variants for implementing the same pattern. Furthermore, the integration of multiple search techniques is required to provide more accurate and effective pattern detection. In this paper, we propose variable pattern definitions composed of reusable feature types. Each feature type is assigned to one of multiple search techniques that is best fitting for its detection. A prototype implementation was applied to three open source applications. For each system a baseline was determined and used for comparison with the results of previous techniques. We reached very good results with an improved pattern catalog, but also demonstrated the necessity for customizations on new inspected systems. These results demonstrate the importance of customizable pattern definitions and multiple search techniques in order to overcome accuracy and flexibility issues of previous approaches.",1938-4300,978-1-4577-1639-3978-1-4577-1638,10.1109/ASE.2011.6100060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6100060,Design Pattern Recognition;Pattern Detection;Pattern Definition;Feature-Based Pattern Recognition;Program Comprehension;Code Analysis;Regular Expressions,Feature extraction;Pattern recognition;Catalogs;Production facilities;Analytical models;Accuracy;Java,pattern recognition;program diagnostics;search problems;software prototyping;software reusability,flexible design pattern detection;program comprehension;reengineering;recognition approaches;multiple search techniques;variable pattern definitions;reusable feature types;prototype implementation;pattern catalog;customizable pattern definitions,,13,18,,,,,IEEE,IEEE Conferences
Combining Dynamic Analysis and Visualization to Explore the Distribution of Unit Test Suites,A. Tahir; S. G. MacDonell,NA; NA,2015 IEEE/ACM 6th International Workshop on Emerging Trends in Software Metrics,,2015,,,21,30,"As software systems have grown in scale and complexity the test suites built alongside those systems have also become increasingly complex. Understanding key aspects of test suites, such as their coverage of production code, is important when maintaining or reengineering systems. This work investigates the distribution of unit tests in Open Source Software (OSS) systems through the visualization of data obtained from both dynamic and static analysis. Our long-term aim is to support developers in their understanding of test distribution and the relationship of tests to production code. We first obtain dynamic coupling information from five selected OSS systems and we then map the test and production code results. The mapping is shown in graphs that depict both the dependencies between classes and static test information. We analyze these graphs using Centrality metrics derived from graph theory and SNA. Our findings suggest that, for these five systems at least, unit test and dynamic coupling information 'do not match', in that unit tests do not appear to be distributed in line with the systems' dynamic coupling. We contend that, by mapping dynamic coupling data onto unit test information, and through the use of software metrics and visualization, we can locate central system classes and identify to which classes unit testing effort has (or has not) been dedicated.",2327-0969;2327-0950,978-1-4673-7103-2978-1-4673-7102,10.1109/WETSoM.2015.12,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7181587,test analysis;program comprehension;unit testing;visualization;dynamic metrics;dynamic analysis,Measurement;Couplings;Data visualization;Testing;Software systems,program diagnostics;program testing;public domain software;software metrics,dynamic analysis;unit test suites;software systems;open source software systems;static analysis;test distribution;centrality metrics;graph theory,,1,40,,,,,IEEE,IEEE Conferences
Slicing and replaying code change history,K. Maruyama; E. Kitsu; T. Omori; S. Hayashi,"Ritsumeikan University, Japan; Ritsumeikan University, Japan; Ritsumeikan University, Japan; Tokyo Institute of Technology, Japan",2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,,2012,,,246,249,"Change-aware development environments have recently become feasible and reasonable. These environments can automatically record fine-grained code changes on a program and allow programmers to replay the recorded changes in chronological order. However, they do not always need to replay all the code changes to investigate how a particular entity of the program has been changed. Therefore, they often skip several code changes of no interest. This skipping action is an obstacle that makes many programmers hesitate in using existing replaying tools. This paper proposes a slicing mechanism that can extract only code changes necessary to construct a particular class member of a Java program from the whole history of past code changes. In this mechanism, fine-grained code changes are represented by edit operations recorded on source code of a program. The paper also presents a running tool that implements the proposed slicing and replays its resulting slices. With this tool, programmers can avoid replaying edit operations nonessential to the construction of class members they want to understand.",,978-1-4503-1204-2978-1-4503-1204,10.1145/2351676.2351713,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494927,Code change;Integrated development environments;Program comprehension;Program slicing;Software maintenance and evolution,,Java;software maintenance,code change history;change-aware development environment;fine-grained code change;skipping action;slicing mechanism;Java program;edit operation;program source code;running tool;software maintenance,,4,13,,,,,IEEE,IEEE Conferences
Program Behavior Discovery and Verification: A Graph Grammar Approach,C. Zhao; J. Kong; K. Zhang,"The University of Texas at Dallas, Richardson; North Dakota State University, Fargo; The University of Texas at Dallas, Richardson",IEEE Transactions on Software Engineering,,2010,36,3,431,448,"Discovering program behaviors and functionalities can ease program comprehension and verification. Existing program analysis approaches have used text mining algorithms to infer behavior patterns or formal models from program execution. When one tries to identify the hierarchical composition of a program behavior at different abstraction levels, textual descriptions are not informative and expressive enough. To address this, we present a semi-automatic graph grammar approach to retrieving the hierarchical structure of the program behavior. The hierarchical structure is built on recurring substructures in a bottom-up fashion. We formulate the behavior discovery and verification problem as a graph grammar induction and parsing problem, i.e., automatically iteratively mining qualified patterns and then constructing graph rewriting rules. Furthermore, using the induced grammar to parse the behavioral structure of a new program could verify if the program has the same behavioral properties specified by the grammar.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2010.3,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5383371,Visual language;graph grammar induction;program comprehension;reengineering.,Software maintenance;Reverse engineering;Learning automata;Software systems;Data mining;Clustering algorithms;Pattern analysis;Algorithm design and analysis;Text mining;Documentation,data mining;graph grammars;program verification,program behavior discovery;program behavior verification;program comprehension;text mining algorithms;behavior patterns;formal models;program execution;semi-automatic graph grammar approach;graph rewriting rules;mining qualified patterns,,15,60,,,,,IEEE,IEEE Journals
A Framework Profile of .NET,R. Lammel; R. Linke; E. Pek; A. Varanovich,NA; NA; NA; NA,2011 18th Working Conference on Reverse Engineering,,2011,,,141,150,"We develop a basic form of framework comprehension which is based on simple, reuse-related metrics for the as-implemented design and usage of frameworks. To this end, we provide a framework profile which incorporates potential reuse characteristics (e.g., specializability of types in a framework) as well as actual reuse characteristics (e.g., evidence of specialization of framework types in projects). We apply framework comprehension in an empirical study of the Microsoft. NET Framework. The approach is helpful in several contexts of software reverse and re-engineering.",2375-5369;1095-1350,978-1-4577-1948,10.1109/WCRE.2011.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079837,framework;.NET;framework design;framework usage;framework profile;reuse;type specialization;late binding;polymorphism;inheritance;program comprehension;software metrics;dynamic program analysis,Measurement;Libraries;Concrete;Performance analysis;Open source software;Context,network operating systems;reverse engineering;software metrics;software reusability;systems re-engineering,framework profile;framework comprehension;reuse-related metrics;Microsoft;.NET framework;software reverse;software reengineering,,2,24,,,,,IEEE,IEEE Conferences
Context-Aware Software Documentation,E. Aghajani,NA,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2018,,,727,731,"Software developers often do not possess the knowledge needed to understand a piece of code at hand, and the lack of code comments and outdated documentation exacerbates the problem. Asking for the help of colleagues, browsing the official documentation, or accessing online resources, such as Stack Overflow, can clearly help in this ""code comprehension"" activity that, however, still remains highly time-consuming and is not always successful. Enhancing this process has been addressed in different studies under the subject of automatic documentation of software artifacts. For example, ""recommender systems"" have been designed with the goal of retrieving and suggesting relevant pieces of information (e.g., Stack Overflow discussions) for a given piece of code inspected in an IDE. However, these techniques rely on limited contextual information, mainly solely source code. Our goal is to build a context-aware proactive recommender system supporting the code comprehension process. The system must be able to understand the context, consider the developer's profile, and help her by generating pieces of documentation at whatever granularity is required, e.g., going from summarizing the responsibilities implemented in a subsystem, to explaining how two classes collaborate to implement a functionality, down to documenting a single line of code. Generated documentation will be tailored for the current context (e.g., the task at hand, the developer's background knowledge, the history of interactions). In this paper we present our first steps toward our goal by introducing the ADANA project, a framework which generates fine-grained code comments for a given piece of code.",2576-3148;1063-6773,978-1-5386-7870-1978-1-5386-7871,10.1109/ICSME.2018.00090,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530093,software documentation;program comprehension;context-aware;recommender system,Documentation;Recommender systems;Task analysis;Software;Knowledge based systems;Data mining;Cloning,document handling;information retrieval;Internet;recommender systems;software maintenance;system documentation;ubiquitous computing;Web sites,contextual information;context-aware proactive recommender system;code comprehension process;generated documentation;fine-grained code comments;context-aware software documentation;software developers;official documentation;online resources;automatic documentation;software artifacts;source code;time-consuming;developer profile;stack overflow;information retrieval,,,46,,,,,IEEE,IEEE Conferences
