Document Title	Document Title - ajusted	DOI	PDF Link	Authors	Author Affiliations	Publication Title	Date Added To Xplore	Publication Year	Volume	Issue	Start Page	End Page	Abstract	ISSN	ISBNs	Funding Information	Author Keywords	IEEE Terms	INSPEC Controlled Terms	INSPEC Non-Controlled Terms	Mesh_Terms	Article Citation Count	Patent Citation Count	Reference Count	License	Online Date	Issue Date	Meeting Date	Publisher	Document Identifier
Program Structure Charts for Applicative Languages	program structure charts for applicative languages	10.1109/TSE.1987.233185	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702240	F. G. Pagan	Department of Computer Science, California State University, Fullerton, CA, USA	IEEE Transactions on Software Engineering	18 Sep 2006	1987	SE-13	4	490	493	A framework for a system of charts compatible with the use of applicative programming languages is proposed and illustrated. The charts are similar in spirit to the structured flowcharts that have sometimes been used with algorithmic languages. They are based on a method of representing the structure of nested expressions of arbitrary complexity. This method is adaptable to the incorporation of graphical devices for the depiction of local identifier bindings, conditional expressions, recursive function definitions, and the various functional combining forms employed in the FP-style of applicative programming.	1939-3520			Applicative languages;functional programming;program design and documentation;program structure charts;structured flowcharts	Computer languages;Functional programming;Flowcharts;Documentation;Computer science;History;Diversity reception;Computer displays;Writing		Applicative languages;functional programming;program design and documentation;program structure charts;structured flowcharts		1		4		18 Sep 2006			IEEE	IEEE Journals
Cubic program structure for multi-device operation and its application in automatic double-electrode SAW	cubic program structure for multidevice operation and its application in automatic doubleelectrode saw	10.1109/WCICA.2008.4594558	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4594558	Chaoying Liu; Peng Huang	Faculty of Electronic Information & Mechantronic Engineering, Zhaoqing University, Zhaoqing, Guangdong, China; Faculty of Electronic Information & Mechantronic Engineering, Zhaoqing University, Zhaoqing, Guangdong, China	2008 7th World Congress on Intelligent Control and Automation	8 Aug 2008	2008			6041	6043	An automatic double-electrode submerged arc welding (SAW) system included two SAW sub-systems and one movement bogie, and each of the SAW sub-system was consisted of a power supply and a wire feeder. These devices were electrically isolated to prevent electrical and magnetic interference. A coordinate controller was needed to make these devices working coordinately and form a better welding seam. For the purpose of isolation and synchronization, a layer-row-line cubic program structure was introduced. Programs in different rows represented a specific operation of a welding procession, and programs in different layer represented different actions of these devices. Actions were synchronized in rows. A SAW welding procession was the sum of all actions. Programs were also easy to be composed and understood under this structure.		978-1-4244-2113-8		Cubic program structure;synchronization;multi-devices;automatic SAW	Welding;Surface acoustic waves;Wire;Power supplies;Synchronization;Metals;Weapons	arc welding	cubic program structure;multidevice operation;automatic double-electrode SAW;submerged arc welding;power supply;wire feeder;magnetic interference;layer-row-line cubic program structure				6		8 Aug 2008			IEEE	IEEE Conferences
Code Comprehension Confounders: A Study of Intelligence and Personality	code comprehension confounders a study of intelligence and personality	10.1109/TSE.2021.3127131	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9611030	S. Wagner; M. Wyrich	Institute of Software Engineering, University of Stuttgart, 9149 Stuttgart, Baden-Wrttemberg, Germany, (e-mail: stefan.wagner@informatik.uni-stuttgart.de); Institute of Software Engineering, University of Stuttgart, 9149 Stuttgart, Baden-Wrttemberg, Germany, (e-mail: marvin.wyrich@iste.uni-stuttgart.de)	IEEE Transactions on Software Engineering		2021	PP	99	1	1	Program comprehension is a cognitive psychological process. Accordingly, literature and intuition suggest that a developer's intelligence and personality have an impact on their performance in comprehending source code. Some researchers have made this suggestion in the past when discussing threats to validity of their study results. However, the lack of studies investigating the relationship of intelligence and personality to performance in code comprehension makes scientifically sound reasoning about their influence difficult. We conduct the first large-scale empirical evaluation, a correlational study with undergraduates, to investigate the correlation of intelligence and personality with performance in code comprehension, that is, in this context, with correctness in answering comprehension questions on code snippets. We found that personality traits are unlikely to impact code comprehension performance, at least not when their influence is considered in isolation. Conscientiousness, in combination with other factors, however, explains some of the variance in code comprehension performance. For intelligence, significant small to moderate positive effects on code comprehension performance were found for three of four factors measured, i.e., fluid intelligence, visual perception, and cognitive speed. Crystallized intelligence has a positive but statistically insignificant effect on code comprehension performance. According to our results, several intelligence facets as well as the personality trait conscientiousness are potential confounders that should not be neglected in code comprehension studies of individual performance and should be controlled for via an appropriate study design. We call for the conduct of further studies on the relationship between intelligence and personality with code comprehension, in part because code comprehension involves more facets than we can measure in a single study and because our regression model explains only a small portion of the variance in code comprehension performance.	1939-3520			code comprehension;intelligence;personality;human factors;confounding parameters;empirical study	Codes;Particle measurements;Atmospheric measurements;Software engineering;Time measurement;Psychology;Guidelines							CCBY	10 nov. 2021			IEEE	IEEE Early Access Articles
"Automatically Assessing Code Understandability" Reanalyzed: Combined Metrics Matter	automatically assessing code understandability reanalyzed combined metrics matter		https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595214	A. Trockman; K. Cates; M. Mozina; T. Nguyen; C. Kästner; B. Vasilescu	University of Evansville, USA; University of Evansville, USA; University of Evansville, USA; University of Evansville, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA	2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)	30 Dec 2018	2018			314	318	Previous research shows that developers spend most of their time understanding code. Despite the importance of code understandability for maintenance-related activities, an objective measure of it remains an elusive goal. Recently, Scalabrino et al. reported on an experiment with 46 Java developers designed to evaluate metrics for code understandability. The authors collected and analyzed data on more than a hundred features describing the code snippets, the developers' experience, and the developers' performance on a quiz designed to assess understanding. They concluded that none of the metrics considered can individually capture understandability. Expecting that understandability is better captured by a combination of multiple features, we present a reanalysis of the data from the Scalabrino et al. study, in which we use different statistical modeling techniques. Our models suggest that some computed features of code, such as those arising from syntactic structure and documentation, have a small but significant correlation with understandability. Further, we construct a binary classifier of understandability based on various interpretable code features, which has a small amount of discriminating power. Our encouraging results, based on a small data set, suggest that a useful metric of understandability could feasibly be created, but more data is needed.	2574-3864	978-1-4503-5716-6		code understandability;metric;reanalysis;statistical modeling;readability;classification;replication;program comprehension	Measurement;Java;Documentation;Principal component analysis;Data models;Computational modeling;Predictive models	Java;software maintenance;software metrics;statistical analysis	code snippets;interpretable code features;Java developers;metrics matter combination;assessing code understandability;statistical modeling techniques;syntactic structure;syntactic documentation;binary classifier				22		30 Dec 2018			IEEE	IEEE Conferences
Linking Code Readability, Structure, and Comprehension Among Novices: It's Complicated	linking code readability, structure, and comprehension among novices its complicated	10.1109/ICSE-SEET.2019.00017	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802116	E. S. Wiese; A. N. Rafferty; A. Fox	University of Utah; Carleton College; University of California, Berkeley	2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)	15 Aug 2019	2019			84	94	Novices' functionally-correct code is often redundant, verbose, or un-idiomatic. Such code could indicate shallow understanding of the programming language, or unfamiliarity with experts' preferences for code structure. Understanding why novices write poorly is important for designing instruction and tools to help novices write elegantly. 231 novices judged style and readability for sets of code snippets targeting seven topics. Within each set, functionality was the same, but the writing followed either common novice patterns or a more elegant, "expert" pattern. Overall, 76% of novices thought the "expert" snippets had the best style, but only 64% said those snippets were most readable. However, comprehension was similar for both "expert" and novice patterns, regardless of readability preferences. This suggests that students who prefer novice patterns do not necessarily have deep misunderstandings about the programming language. One topic included a code-writing task, and students' readability preferences were predictive of their code-writing patterns, suggesting that readability preferences reflect writing choices rather than comprehension. Thus, novices may benefit from lightweight tools that identify common patterns and suggest an "expert" solution, while helping them see that the "expert" solution is more readable than they think.		978-1-7281-1000-4		computer science education;code readability;novice code comprehension	Tools;Encoding;Education;Writing;Programming;Task analysis;Measurement	computer science education;programming languages	code readability;functionally-correct code;programming language;code structure;code snippets;expert pattern;expert snippets;code-writing task;code-writing patterns;student readability preferences		7		28		15 Aug 2019			IEEE	IEEE Conferences
Towards an e-assessment approach of algorithmic problem-solving skills using plan-based program understanding approach	towards an eassessment approach of algorithmic problemsolving skills using planbased program understanding approach	10.1109/ICEELI.2012.6360666	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6360666	A. Bey; T. Bensebaa	Laboratoire de Recherche en Informatique-LRI Department of Computer Science, Badji Mokhtar-Annaba University, Annaba, Algeria; Laboratoire de Recherche en Informatique-LRI Department of Computer Science, Badji Mokhtar-Annaba University, Annaba, Algeria	International Conference on Education and e-Learning Innovations	24 nov. 2012	2012			1	4	The majority of the students of Computer Science often start directly writing a program code when they have been asked to resolve a problem in algorithms. Although, what is way more important is the algorithm the code has to represent. Learning how to design an algorithm which resolves a given problem it is not easy. In this paper, we propose a formative-diagnostic assessment approach which helps students on acquiring problem-solving skills that enable them to cope with problems and to design more efficient and elegant solutions. Aside from the fact that this approach brings a solution for delicate problem of e-assessment of algorithmic skills, in addition it is formative aiming at strengthening algorithmic competencies. Drawing inspiration from the basic principles of the algorithms field itself, it is based on using known components called: Basic Operations which are organized in a library. For modeling, solutions of each problem are regrouped in a bunch and each solution is represented by a plan which is the canonical representation of a program in an approach of program understanding. The purpose of this approach is to provide a formative and diagnostic assessment in order to empower the learner to acquire algorithmic problem-solving skills. Even if it has been conceived for algorithmic competencies assessment, this approach can easily be adapted to any field to assess its know-how.		978-1-4673-2225-6		Learning Environment;Diagnostic assessment;formative assessment;program understanding approach;algorithmic problem-solving skills	Educational institutions;Abstracts;Algorithm design and analysis;Problem-solving;Libraries;Programming	computer aided instruction;computer science education;problem solving	e-assessment approach;algorithmic problem solving skills;plan-based program understanding;computer science;program code;learning;formative-diagnostic assessment		3		13		24 nov. 2012			IEEE	IEEE Conferences
Influence of Synchronized Domain Visualizations on Program Comprehension	influence of synchronized domain visualizations on program comprehension	10.1109/ICPC.2010.21	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521744	N. Oliveira; M. J. V. Pereira; D. da Cruz; M. Berón	University of Minho, Braga, Portugal; Polythecnic Institute of Bragança, Bragaçn, Portugal; University of Minho, Braga, Portugal; National University of San Luis, San Luis, Argentina	2010 IEEE 18th International Conference on Program Comprehension	26 jul. 2010	2010			192	195	An effective program comprehension is reached when it is possible to view and relate what happens when the program is executed, synchronized with its effects in the real world concepts. This enables the interconnection of program’s meaning at both problem and program domains. To sustain this statement we need (i) to develop a tool which provides and synchronizes views at both domains, and (ii) to perform an experiment to measure the actual impact of this approach. So, in this working session we aim at discussing the benefits of providing synchronized domain visualizations. We also envisage to discuss the preparation and conduction of appropriate experiments that will test that benefits. A case study will be used and the discussion will be supported by experimental material specially prepared for the occasion, but adapted from material already used in previous experiments.	1092-8138	978-1-4244-7603-9		DSL comprehension;Program comprehension experiments;Program comprehension tools;Synchronized program visualizations	Visualization;Testing;DSL;Conducting materials;Animation;Performance evaluation;Cause effect analysis;Data mining;Humans;Graphics	data visualisation;synchronisation	synchronized domain visualizations;effective program comprehension				11		26 jul. 2010			IEEE	IEEE Conferences
An Empirical Study Assessing Source Code Readability in Comprehension	an empirical study assessing source code readability in comprehension	10.1109/ICSME.2019.00085	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918951	J. Johnson; S. Lubo; N. Yedla; J. Aponte; B. Sharif	Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Dept. de Ingenieria de Sistemas e Industrial, Universidad Nacional de Colombia, Bogota, Colombia; Department of CSIS, Youngstown State University, Youngstown, Ohio, USA; Dept. de Ingenieria de Sistemas e Industrial, Universidad Nacional de Colombia, Bogota, Colombia; Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska, USA	2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)	5 Dec 2019	2019			513	523	Software developers spend a significant amount of time reading source code. If code is not written with readability in mind, it impacts the time required to maintain it. In order to alleviate the time taken to read and understand code, it is important to consider how readable the code is. The general consensus is that source code should be written to minimize the time it takes for others to read and understand it. In this paper, we conduct a controlled experiment to assess two code readability rules: nesting and looping. We test 32 Java methods in four categories: ones that follow/do not follow the readability rule and that are correct/incorrect. The study was conducted online with 275 participants. The results indicate that minimizing nesting decreases the time a developer spends reading and understanding source code, increases confidence about the developer's understanding of the code, and also suggests that it improves their ability to find bugs. The results also show that avoiding the do-while statement had no significant impact on level of understanding, time spent reading and understanding, confidence in understanding, or ease of finding bugs. It was also found that the better knowledge of English a participant had, the more their readability and comprehension confidence ratings were affected by the minimize nesting rule. We discuss the implications of these findings for code readability and comprehension.	2576-3148	978-1-7281-3094-1		program comprehension;source code readability rules;correctness;controlled experiment	Encoding;Java;Measurement;Computer bugs;Programming;Image color analysis;Software	Java;program control structures;program debugging;software maintenance;source code (software)	readability rule;minimized nesting rule;source code readability rules;Java methods;nesting rule;looping rule		3		30		5 Dec 2019			IEEE	IEEE Conferences
Source code comprehension analysis in software maintenance	source code comprehension analysis in software maintenance	10.1109/CCOMS.2017.8075175	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8075175	N. A. Al-Saiyd	Computer Science Department, Applied Science Private University, Amman, Jordan	2017 2nd International Conference on Computer and Communication Systems (ICCCS)	23 Oct 2017	2017			1	5	Source code comprehension is considered as an essential part of the software maintenance process. It is considered as one of the most critical and time-consuming task during software maintenance process. The difficulties of source code comprehension is analyzed. A static Bottom-up code comprehension model is used. The code is partitioned into functional-based blocks and their data and control dependencies that preserve the functionality of the program are analyzed. The data-flow and control-flow graphs reflects the dependencies and assist in refactoring process. The proposed strategy helps in improving the readability of the program code, increase maintainer productivity, and reducing the time and effort of code comprehension. It helps maintainers to locate the required lines of code that constitute the functional area that the maintainers are searching for in their maintenance work.		978-1-5386-0539-4		source code comprehension;code comprehension;models;refactoring;effort estimation;source line of code (SLOC)	Maintenance engineering;Computer languages;Software maintenance;Documentation;Software systems	data flow graphs;software maintenance;source code (software)	source code comprehension analysis;software maintenance process;functional-based blocks;control dependencies;control-flow graphs;refactoring process;program code;maintenance work;data-flow graph;static bottom-up code comprehension model;code partitioning		3		18		23 Oct 2017			IEEE	IEEE Conferences
The Influence of Different AOI Models in Source Code Comprehension Analysis	the influence of different aoi models in source code comprehension analysis	10.1109/EMIP.2019.00010	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8834701	F. Deitelhoff; A. Harrer; A. Kienle	Faculty of Computer Science, University of Applied Sciences and Arts, Dortmund, Germany; Faculty of Computer Science, University of Applied Sciences and Arts, Dortmund, Germany; Faculty of Computer Science, University of Applied Sciences and Arts, Dortmund, Germany	2019 IEEE/ACM 6th International Workshop on Eye Movements in Programming (EMIP)	12 Sep 2019	2019			10	17	In source code comprehension, researchers frequently analyze eye movement data in order to find patterns to test hypotheses. For such an analysis, fixations are often assigned to objects of a stimulus, like tokens, code lines or code regions, through areas of interest (AOI). There are multiple ways to define an AOI which can have a broad impact on the analysis of the eye movement data. In this paper, we analyzed the impact of choosing two different AOI models, both as extreme points from a methodical point of view. We propose one AOI model and compare it to the AOI model from the EMIP dataset. Within the data, we found indications, that one AOI model captures less AOI transitions compared to the other model. A qualitative investigation showed, that some of these AOI transitions can be important for understanding the viewing and comprehension strategy of the participant. In conclusion, we argue, that every researcher should report the chosen AOI model and the particular AOI definitions used in a study, to understand their research. Additionally, we suggest a simple algorithm to test, which AOI model configuration will capture a majority of data points.		978-1-7281-2243-4		program comprehension;source code comprehension;eye tracking;areas of interest;data fishing;signal detection;AOI-DNA;AOI-STG	Data models;Analytical models;Programming;Gaze tracking;Signal detection;Distributed databases;Conferences	eye;gaze tracking;program diagnostics	source code comprehension analysis;eye movement data;code lines;code regions;AOI model captures;AOI transitions;comprehension strategy;particular AOI definitions;AOI model configuration;data points;EMIP dataset		5		14		12 Sep 2019			IEEE	IEEE Conferences
